"%IncMSE","IncNodePurity","Feature"
27.460331445833,1777927057256.52,"OverallQual"
34.6247335164371,1097468892060.08,"GrLivArea"
25.8398083612759,1075289898669.72,"Neighborhood"
13.1484513136595,671204943446.392,"GarageCars"
17.0563368935283,548222206615.432,"YearBuilt"
21.964265438443,518674907366.16,"TotalBsmtSF"
15.5333377498665,476477225709.82,"GarageArea"
14.407358978586,265304082581.019,"LotArea"
9.25321552167484,176059928606.314,"FullBath"
11.4945037344126,72161186207.5978,"BedroomAbvGr"
