"SalePrice","OverallQual","GrLivArea","GarageCars","GarageArea","TotalBsmtSF","YearBuilt","FullBath","BedroomAbvGr","LotArea","Neighborhood"
208500,7,1710,2,548,856,2003,2,3,8450,"CollgCr"
181500,6,1262,2,460,1262,1976,2,3,9600,"Veenker"
223500,7,1786,2,608,920,2001,2,3,11250,"CollgCr"
140000,7,1717,3,642,756,1915,1,3,9550,"Crawfor"
250000,8,2198,3,836,1145,2000,2,4,14260,"NoRidge"
143000,5,1362,2,480,796,1993,1,1,14115,"Mitchel"
307000,8,1694,2,636,1686,2004,2,3,10084,"Somerst"
200000,7,2090,2,484,1107,1973,2,3,10382,"NWAmes"
129900,7,1774,2,468,952,1931,2,2,6120,"OldTown"
118000,5,1077,1,205,991,1939,1,2,7420,"BrkSide"
129500,5,1040,1,384,1040,1965,1,3,11200,"Sawyer"
345000,9,2324,3,736,1175,2005,3,4,11924,"NridgHt"
144000,5,912,1,352,912,1962,1,2,12968,"Sawyer"
279500,7,1494,3,840,1494,2006,2,3,10652,"CollgCr"
157000,6,1253,1,352,1253,1960,1,2,10920,"NAmes"
132000,7,854,2,576,832,1929,1,2,6120,"BrkSide"
149000,6,1004,2,480,1004,1970,1,2,11241,"NAmes"
90000,4,1296,2,516,0,1967,2,2,10791,"Sawyer"
159000,5,1114,2,576,1114,2004,1,3,13695,"SawyerW"
139000,5,1339,1,294,1029,1958,1,3,7560,"NAmes"
325300,8,2376,3,853,1158,2005,3,4,14215,"NridgHt"
139400,7,1108,1,280,637,1930,1,3,7449,"IDOTRR"
230000,8,1795,2,534,1777,2002,2,3,9742,"CollgCr"
129900,5,1060,2,572,1040,1976,1,3,4224,"MeadowV"
154000,5,1060,1,270,1060,1968,1,3,8246,"Sawyer"
256300,8,1600,3,890,1566,2007,2,3,14230,"NridgHt"
134800,5,900,2,576,900,1951,1,3,7200,"NAmes"
306000,8,1704,3,772,1704,2007,2,3,11478,"NridgHt"
207500,5,1600,1,319,1484,1957,1,2,16321,"NAmes"
68500,4,520,1,240,520,1927,1,1,6324,"BrkSide"
40000,4,1317,1,250,649,1920,1,3,8500,"IDOTRR"
149350,5,1228,1,271,1228,1966,1,3,8544,"Sawyer"
179900,8,1234,2,484,1234,2007,2,3,11049,"CollgCr"
165500,5,1700,2,447,1398,1959,1,4,10552,"NAmes"
277500,9,1561,2,556,1561,2005,2,2,7313,"NridgHt"
309000,8,2452,3,691,1117,2004,3,4,13418,"NridgHt"
145000,5,1097,2,672,1097,1994,1,3,10859,"CollgCr"
153000,5,1297,2,498,1297,1954,1,3,8532,"NAmes"
109000,5,1057,1,246,1057,1953,1,3,7922,"NAmes"
82000,4,1152,0,0,0,1955,2,2,6040,"Edwards"
160000,6,1324,2,440,1088,1965,2,3,8658,"NAmes"
170000,5,1328,1,308,1350,1959,1,2,16905,"Timber"
144000,5,884,2,504,840,1983,1,2,9180,"SawyerW"
130250,5,938,1,308,938,1975,1,3,9200,"CollgCr"
141000,5,1150,1,300,1150,1959,1,3,7945,"NAmes"
319900,9,1752,2,576,1752,2005,2,2,7658,"NridgHt"
239686,7,2149,2,670,1434,2003,1,1,12822,"Mitchel"
249700,8,1656,3,826,1656,2006,2,3,11096,"Somerst"
113000,4,1452,0,0,736,1920,2,2,4456,"OldTown"
127000,5,955,1,386,955,1966,1,3,7742,"Sawyer"
177000,6,1470,2,388,794,1997,2,3,13869,"Gilbert"
114500,6,1176,2,528,816,1934,1,3,6240,"BrkSide"
110000,5,816,2,516,816,1963,1,2,8472,"IDOTRR"
385000,9,1842,3,894,1842,1981,0,0,50271,"Veenker"
130000,5,1360,2,572,384,1955,1,3,7134,"NAmes"
180500,6,1425,2,576,1425,1964,2,3,10175,"NAmes"
172500,8,1739,2,480,970,1999,2,3,2645,"Somerst"
196500,7,1720,2,565,860,2004,2,3,11645,"CollgCr"
438780,10,2945,3,641,1410,2006,3,3,13682,"StoneBr"
124900,5,780,1,352,780,1972,1,2,7200,"CollgCr"
158000,6,1158,2,576,1158,2004,1,3,13072,"SawyerW"
